category,capacity,ticket_price,days_remaining,current_fill_rate,booking_velocity_24h,actual_additional_demand,demand_level,capacity_risk
Technology,200,750,10,0.92,15,77,CRITICAL,CRITICAL
Cultural,1000,300,22,0.4,20,250,MEDIUM,MEDIUM
Workshop,200,250,25,0.35,31,399,CRITICAL,CRITICAL
Workshop,1500,750,24,0.29,17,259,LOW,LOW
Workshop,1500,750,4,0.86,21,47,CRITICAL,CRITICAL
Show,800,1500,13,0.73,33,210,HIGH,HIGH
Concert,2000,250,6,0.78,59,242,HIGH,HIGH
Cultural,2000,500,19,0.19,20,222,LOW,LOW
Sports,2000,0,22,0.32,49,598,MEDIUM,MEDIUM
Show,1000,300,28,0.89,46,627,CRITICAL,CRITICAL
Technology,800,0,19,0.53,57,660,CRITICAL,CRITICAL
Cultural,1500,0,23,0.95,24,374,CRITICAL,CRITICAL
Sports,1000,1500,9,0.94,12,53,CRITICAL,CRITICAL
Show,800,500,28,0.17,8,161,LOW,LOW
Cultural,100,2000,17,0.84,6,73,CRITICAL,CRITICAL
Sports,1000,1500,13,0.1,18,128,LOW,LOW
Cultural,100,2000,19,0.58,19,253,CRITICAL,CRITICAL
Cultural,800,750,19,0.86,22,276,CRITICAL,CRITICAL
Sports,800,1500,27,0.93,13,193,CRITICAL,CRITICAL
Show,100,300,18,0.84,48,474,CRITICAL,CRITICAL
Technology,2000,300,18,0.66,43,518,HIGH,HIGH
Show,800,0,10,0.9,41,223,CRITICAL,CRITICAL
Concert,500,500,1,0.77,32,22,HIGH,HIGH
Sports,500,2000,14,0.22,32,281,MEDIUM,MEDIUM
Workshop,100,300,4,0.15,38,74,HIGH,HIGH
Workshop,2000,1500,17,0.61,22,210,MEDIUM,MEDIUM
Concert,200,1500,24,0.38,48,682,CRITICAL,CRITICAL
Sports,2000,750,30,0.84,17,267,HIGH,HIGH
Technology,800,2000,28,0.82,24,365,CRITICAL,CRITICAL
Cultural,500,2000,25,0.31,33,471,CRITICAL,CRITICAL
Cultural,2000,500,17,0.15,22,268,LOW,LOW
Workshop,500,750,8,0.53,31,120,MEDIUM,MEDIUM
Workshop,100,0,1,0.87,27,17,CRITICAL,CRITICAL
Sports,1500,2000,14,0.13,17,134,LOW,LOW
Cultural,200,0,20,0.16,18,226,CRITICAL,CRITICAL
Show,100,750,25,0.76,14,211,CRITICAL,CRITICAL
Sports,800,1000,16,0.15,23,224,LOW,LOW
Concert,500,300,30,0.21,47,941,CRITICAL,CRITICAL
Workshop,800,1000,9,0.74,14,81,HIGH,HIGH
Technology,2000,300,10,0.38,69,425,MEDIUM,MEDIUM
Cultural,1000,2000,21,0.91,7,95,CRITICAL,CRITICAL
Cultural,500,2000,14,0.39,10,95,MEDIUM,MEDIUM
Show,1000,300,11,0.94,40,261,CRITICAL,CRITICAL
Show,1000,300,16,0.76,25,262,HIGH,HIGH
Show,200,1000,4,0.1,35,87,MEDIUM,MEDIUM
Show,1000,2000,23,0.38,34,468,MEDIUM,MEDIUM
Show,100,750,7,0.31,11,41,MEDIUM,MEDIUM
Show,500,1000,14,0.5,13,90,MEDIUM,MEDIUM
Show,100,250,24,0.83,30,403,CRITICAL,CRITICAL
Cultural,100,250,17,0.27,34,346,CRITICAL,CRITICAL
Sports,2000,0,21,0.56,45,501,MEDIUM,MEDIUM
Concert,1000,500,26,0.51,37,500,HIGH,HIGH
Cultural,800,1500,19,0.71,25,298,CRITICAL,CRITICAL
Technology,1500,0,18,0.91,73,663,CRITICAL,CRITICAL
Workshop,100,500,23,0.7,7,84,CRITICAL,CRITICAL
Workshop,1000,750,13,0.87,16,134,CRITICAL,CRITICAL
Technology,1500,300,25,0.63,53,932,CRITICAL,CRITICAL
Technology,100,500,22,0.85,31,370,CRITICAL,CRITICAL
Concert,100,1000,9,0.78,49,257,CRITICAL,CRITICAL
Show,1500,1500,16,0.69,19,189,HIGH,HIGH
Workshop,800,1000,6,0.13,10,31,LOW,LOW
Show,1000,0,3,0.92,28,42,CRITICAL,CRITICAL
Show,200,0,6,0.58,23,70,MEDIUM,MEDIUM
Sports,1500,1500,4,0.17,28,60,LOW,LOW
Concert,200,1000,5,0.17,43,145,HIGH,HIGH
Workshop,800,250,4,0.39,46,93,MEDIUM,MEDIUM
Sports,200,250,24,0.62,43,552,CRITICAL,CRITICAL
Cultural,500,1500,23,0.78,40,641,CRITICAL,CRITICAL
Workshop,200,500,19,0.16,13,125,MEDIUM,MEDIUM
Cultural,1000,500,5,0.19,34,91,LOW,LOW
Cultural,800,2000,7,0.63,10,38,MEDIUM,MEDIUM
Workshop,1500,1500,22,0.46,31,420,MEDIUM,MEDIUM
Sports,800,1500,15,0.95,22,181,CRITICAL,CRITICAL
Technology,200,1500,24,0.13,47,760,CRITICAL,CRITICAL
Concert,1000,2000,15,0.85,53,529,CRITICAL,CRITICAL
Show,200,0,2,0.29,35,48,LOW,LOW
Concert,200,1500,18,0.91,27,249,CRITICAL,CRITICAL
Show,100,500,17,0.4,18,195,CRITICAL,CRITICAL
Cultural,800,1500,14,0.82,29,241,CRITICAL,CRITICAL
Cultural,1000,2000,27,0.28,32,531,MEDIUM,MEDIUM
Technology,200,2000,19,0.57,31,399,CRITICAL,CRITICAL
Sports,1000,1500,19,0.74,23,250,HIGH,HIGH
Cultural,100,250,19,0.11,47,637,CRITICAL,CRITICAL
Technology,2000,1500,28,0.55,58,950,HIGH,HIGH
Workshop,800,750,28,0.83,22,361,CRITICAL,CRITICAL
Workshop,1000,1500,3,0.89,29,48,CRITICAL,CRITICAL
Workshop,1500,300,20,0.32,32,365,LOW,LOW
Sports,2000,500,2,0.93,6,7,CRITICAL,CRITICAL
Workshop,800,500,10,0.38,16,87,MEDIUM,MEDIUM
Workshop,1500,1500,22,0.23,16,174,LOW,LOW
Sports,2000,2000,18,0.62,29,373,MEDIUM,MEDIUM
Technology,2000,300,4,0.12,40,101,LOW,LOW
Workshop,500,1000,19,0.84,27,361,CRITICAL,CRITICAL
Technology,1000,0,30,0.67,77,1369,CRITICAL,CRITICAL
Concert,100,750,12,0.2,41,276,CRITICAL,CRITICAL
Show,200,750,14,0.81,11,85,CRITICAL,CRITICAL
Show,2000,300,3,0.24,41,76,LOW,LOW
Cultural,800,1000,15,0.17,29,290,MEDIUM,MEDIUM
Workshop,2000,1000,23,0.69,16,234,HIGH,HIGH
Workshop,1500,0,4,0.47,47,133,MEDIUM,MEDIUM
Show,1000,750,13,0.76,25,185,HIGH,HIGH
Concert,500,300,10,0.51,50,286,HIGH,HIGH
Show,100,500,18,0.61,27,340,CRITICAL,CRITICAL
Technology,1500,1000,21,0.18,38,477,LOW,LOW
Show,1000,2000,30,0.78,23,373,CRITICAL,CRITICAL
Sports,100,500,1,0.86,35,17,CRITICAL,CRITICAL
Technology,500,500,23,0.42,46,695,CRITICAL,CRITICAL
Concert,500,250,25,0.13,62,1038,CRITICAL,CRITICAL
Show,1000,750,29,0.59,28,507,CRITICAL,CRITICAL
Workshop,1500,500,4,0.38,29,64,MEDIUM,MEDIUM
Concert,1500,1000,21,0.4,18,228,MEDIUM,MEDIUM
Sports,200,500,23,0.37,13,165,CRITICAL,CRITICAL
Concert,100,750,3,0.74,44,77,CRITICAL,CRITICAL
Workshop,800,1000,11,0.39,22,163,MEDIUM,MEDIUM
Show,2000,1000,15,0.15,39,389,LOW,LOW
Workshop,800,500,5,0.47,34,118,MEDIUM,MEDIUM
Technology,100,2000,25,0.17,46,760,CRITICAL,CRITICAL
Sports,1000,2000,18,0.11,33,298,LOW,LOW
Cultural,1500,1000,26,0.42,35,498,MEDIUM,MEDIUM
